bezirke,bezirke-href,bezirkname,Wahlvorschlag,Kandidat(in),Stimmen,Stimmenanteil in %
62600 - Laubegast (Villacher Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-62600-laubegastvillacherstr_gesamt.html,,Ungültige,,5,"0,7"
54001 - Striesen-West-1,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-54001-striesen-west-1_gesamt.html,,AfD,"Vogel, Stefan",36,"4,8"
98200 - Kemnitz/​Briesnitz (Hammeraue),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-98200-kemnitzbriesnitzhammeraue_gesamt.html,,Gültige,,681,"99,6"
05100 - Friedrichstadt (Löbtauer Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-05100-friedrichstadtlbtauerstr_gesamt.html,,Ungültige,,4,"0,8"
63301 - Meußlitz-Nord,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-63301-meulitz-nord_gesamt.html,,Festerling,"Festerling, Tatjana",86,"16,1"
90610 - Mobschatz,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-90610-mobschatz_gesamt.html,01100 - Innere Altstadt,,,,
36310 - Heidehof,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-36310-heidehof_gesamt.html,,AfD,"Vogel, Stefan",20,"5,3"
96000 - Gorbitz-Ost,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-96000-gorbitz-ost_gesamt.html,,Unabhängige Bürger für Dresden e. V.,"Hilbert, Dirk",170,"33,7"
86600 - Plauen (Kantstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-86600-plauenkantstr_gesamt.html,01100 - Innere Altstadt,,,,
22400 - Mickten (Lommatzscher Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-22400-micktenlommatzscherstr_gesamt.html,,Unabhängige Bürger für Dresden e. V.,"Hilbert, Dirk",92,"27,1"
83700 - Zschertnitz (Zschertnitzer Weg),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-83700-zschertnitzzschertnitzerweg_gesamt.html,,Gültige,,386,99
93400 - Löbtau-Süd (Zauckeroder Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-93400-lbtau-sdzauckeroderstr_gesamt.html,,Gemeinsam für Dresden,"Dr. Stange, Eva-Maria",166,"40,1"
31100 - Klotzsche (Altklotzsche),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-31100-klotzschealtklotzsche_gesamt.html,,Unabhängige Bürger für Dresden e. V.,"Hilbert, Dirk",248,"36,3"
96300 - Gorbitz-Ost (Asternweg/​Leutew. Ring-Ost),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-96300-gorbitz-ostasternwegleutewring-ost_gesamt.html,,AfD,"Vogel, Stefan",27,"6,7"
32201 - Rähnitz-Nord,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-32201-rhnitz-nord_gesamt.html,,Gültige,,365,"99,7"
71400 - Prohlis-Nord (Albert-Wolf-Platz),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-71400-prohlis-nordalbert-wolf-platz_gesamt.html,,AfD,"Vogel, Stefan",19,"5,5"
06600 - Johannstadt-Nord (Gutenbergstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-06600-johannstadt-nordgutenbergstr_gesamt.html,,Gemeinsam für Dresden,"Dr. Stange, Eva-Maria",209,"40,9"
