bezirke,bezirke-href,bezirkname,Wahlvorschlag,Kandidat(in),Stimmen,Stimmenanteil in %
77300 - Reick (Lübbenauer Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-77300-reicklbbenauerstr_gesamt.html,01100 - Innere Altstadt,,,,
04500 - Seevorstadt-West (Sternplatz),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-04500-seevorstadt-weststernplatz_gesamt.html,,Unabhängige Bürger für Dresden e. V.,"Hilbert, Dirk",92,"24,4"
03000 - Seevorstadt-Ost/​Strehlen-Nordwest,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-03000-seevorstadt-oststrehlen-nordwest_gesamt.html,01100 - Innere Altstadt,,,,
74202 - Lockwitz-Südost,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-74202-lockwitz-sdost_gesamt.html,,CDU,"Ulbig, Markus",62,"15,2"
81800 - Südvorstadt-West (Bayreuther Str.-West),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-81800-sdvorstadt-westbayreutherstr-west_gesamt.html,,Die PARTEI,"Stosch, Lars",5,"1,3"
36410 - OS Schönborn,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-36410-osschnborn_gesamt.html,,Gemeinsam für Dresden,"Dr. Stange, Eva-Maria",60,"24,1"
31100 - Klotzsche (Altklotzsche),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-31100-klotzschealtklotzsche_gesamt.html,,Ungültige,,6,"0,9"
52300 - Striesen-Ost (Pohlandstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-52300-striesen-ostpohlandstr_gesamt.html,,Ungültige,,4,"0,6"
06001 - Johannstadt-Nord-1,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-06001-johannstadt-nord-1_gesamt.html,,Unabhängige Bürger für Dresden e. V.,"Hilbert, Dirk",160,31
95200 - Gorbitz-Süd (Wölfnitzer Ring-Ost),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-95200-gorbitz-sdwlfnitzerring-ost_gesamt.html,,Gültige,,232,"97,5"
54400 - Striesen-West (Löscherstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-54400-striesen-westlscherstr_gesamt.html,,Festerling,"Festerling, Tatjana",43,"7,7"
76700 - Strehlen (Wilhelm-Lachnit-Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-76700-strehlenwilhelm-lachnit-str_gesamt.html,,Gültige,,212,"98,1"
35510 - Gomlitz/​Alt-Weixdorf,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-35510-gomlitzalt-weixdorf_gesamt.html,,AfD,"Vogel, Stefan",24,"6,3"
02200 - Pirnaische Vorstadt (Zirkusstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-02200-pirnaischevorstadtzirkusstr_gesamt.html,,Ungültige,,9,"1,5"
81700 - Südvorstadt-West (Nürnberger Platz/​TU),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-81700-sdvorstadt-westnrnbergerplatztu_gesamt.html,,Unabhängige Bürger für Dresden e. V.,"Hilbert, Dirk",169,"26,4"
56502 - Seidnitz (Hellendorfer Str./​Altseidnitz),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-56502-seidnitzhellendorferstraltseidnitz_gesamt.html,,Gemeinsam für Dresden,"Dr. Stange, Eva-Maria",131,23
81400 - Südvorstadt-West (Schnorrstr.-West),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-81400-sdvorstadt-westschnorrstr-west_gesamt.html,01100 - Innere Altstadt,,,,
98600 - Leutewitz/​Omsewitz (Neuburgstädtel),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-98600-leutewitzomsewitzneuburgstdtel_gesamt.html,,Gültige,,551,"98,6"
02000 - Pirnaische Vorstadt,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-02000-pirnaischevorstadt_gesamt.html,,Gemeinsam für Dresden,"Dr. Stange, Eva-Maria",277,"40,3"
61600 - Leuben (Mockethaler Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-61600-leubenmockethalerstr_gesamt.html,01100 - Innere Altstadt,,,,
43000 - Hosterw./​Pillnitz/​Ober-/​Niederpoyritz,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-43000-hosterwpillnitzober-niederpoyritz_gesamt.html,,Gültige,,433,"99,3"
61300 - Leuben (Kleinzschachwitzer Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-61300-leubenkleinzschachwitzerstr_gesamt.html,,Ungültige,,5,"0,8"
35610 - Marsdorf,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-35610-marsdorf_gesamt.html,,Die PARTEI,"Stosch, Lars",3,"2,9"
62501 - Laubegast (Melli-Beese-Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-62501-laubegastmelli-beese-str_gesamt.html,,AfD,"Vogel, Stefan",30,"5,4"
45010 - Weißig,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-45010-weiig_gesamt.html,,Gültige,,485,"98,4"
61400 - Leuben/​Niedersedlitz (Sachsenwerkstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-61400-leubenniedersedlitzsachsenwerkstr_gesamt.html,,Unabhängige Bürger für Dresden e. V.,"Hilbert, Dirk",102,"29,7"
86100 - Plauen (Würzburger Str.-West),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-86100-plauenwrzburgerstr-west_gesamt.html,,Unabhängige Bürger für Dresden e. V.,"Hilbert, Dirk",197,"31,7"
76002 - Strehlen 2,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-76002-strehlen2_gesamt.html,01100 - Innere Altstadt,,,,
76300 - Strehlen (Lenbachstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-76300-strehlenlenbachstr_gesamt.html,,Unabhängige Bürger für Dresden e. V.,"Hilbert, Dirk",145,"28,2"
55101 - Tolkewitz (Wehlener Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-55101-tolkewitzwehlenerstr_gesamt.html,,CDU,"Ulbig, Markus",87,"18,9"
76700 - Strehlen (Wilhelm-Lachnit-Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-76700-strehlenwilhelm-lachnit-str_gesamt.html,01100 - Innere Altstadt,,,,
56900 - Seidnitz (Ulberndorfer Weg),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-56900-seidnitzulberndorferweg_gesamt.html,,Ungültige,,1,"0,3"
55200 - Tolkewitz (Knappestr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-55200-tolkewitzknappestr_gesamt.html,,CDU,"Ulbig, Markus",76,"20,2"
56501 - Seidnitz (Liebenauer Str),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-56501-seidnitzliebenauerstr_gesamt.html,,Gültige,,327,"98,5"
52300 - Striesen-Ost (Pohlandstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-52300-striesen-ostpohlandstr_gesamt.html,,CDU,"Ulbig, Markus",112,"15,5"
"51100 - Blasewitz (Händel-, Mendelssohnallee)",http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-51100-blasewitzhndel-mendelssohnallee_gesamt.html,01100 - Innere Altstadt,,,,
05100 - Friedrichstadt (Löbtauer Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-05100-friedrichstadtlbtauerstr_gesamt.html,01100 - Innere Altstadt,,,,
12301 - Radeberger Vorstadt (Am Brauhaus),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-12301-radebergervorstadtambrauhaus_gesamt.html,,Ungültige,,2,"0,5"
"51100 - Blasewitz (Händel-, Mendelssohnallee)",http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-51100-blasewitzhndel-mendelssohnallee_gesamt.html,,Ungültige,,5,"0,9"
92200 - Löbtau-Nord (Altlöbtau),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-92200-lbtau-nordaltlbtau_gesamt.html,,Unabhängige Bürger für Dresden e. V.,"Hilbert, Dirk",120,"23,3"
81800 - Südvorstadt-West (Bayreuther Str.-West),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-81800-sdvorstadt-westbayreutherstr-west_gesamt.html,,CDU,"Ulbig, Markus",62,"15,5"
74201 - Lockwitz-Nordwest,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-74201-lockwitz-nordwest_gesamt.html,01100 - Innere Altstadt,,,,
85200 - Coschütz-West,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-85200-coschtz-west_gesamt.html,,Ungültige,,4,"0,7"
74302 - Nickern (Nickerner Platz),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-74302-nickernnickernerplatz_gesamt.html,,Ungültige,,11,"1,9"
94101 - Naußlitz (Koblenzer Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-94101-naulitzkoblenzerstr_gesamt.html,01100 - Innere Altstadt,,,,
98300 - Briesnitz (Zschonerallee),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-98300-briesnitzzschonerallee_gesamt.html,,Ungültige,,5,"0,9"
73102 - Niedersedlitz (Sosaer Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-73102-niedersedlitzsosaerstr_gesamt.html,,CDU,"Ulbig, Markus",106,"17,3"
91300 - Cotta (Weidentalstr.-West),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-91300-cottaweidentalstr-west_gesamt.html,,CDU,"Ulbig, Markus",71,"14,5"
52100 - Striesen-Ost (Sickingenstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-52100-striesen-ostsickingenstr_gesamt.html,,Ungültige,,2,"0,4"
98001 - Briesnitz-1/​Kemnitz/​Stetzsch,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-98001-briesnitz-1kemnitzstetzsch_gesamt.html,,Gültige,,668,"99,4"
22300 - Trachau-Süd (Dreyßigplatz),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-22300-trachau-sddreyigplatz_gesamt.html,,Gemeinsam für Dresden,"Dr. Stange, Eva-Maria",133,"33,5"
21302 - Pieschen-Süd (Bürgerstr.-Ost),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-21302-pieschen-sdbrgerstr-ost_gesamt.html,,AfD,"Vogel, Stefan",18,"3,5"
75903 - Mockritz-Ost (Gostritzer Str.-Süd),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-75903-mockritz-ostgostritzerstr-sd_gesamt.html,,Gültige,,376,"99,7"
52200 - Striesen-Ost (Jacobistr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-52200-striesen-ostjacobistr_gesamt.html,01100 - Innere Altstadt,,,,
31601 - Klotzsche (Königswald-Nord),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-31601-klotzscheknigswald-nord_gesamt.html,,AfD,"Vogel, Stefan",21,"4,1"
71500 - Prohlis-Nord (Jacob-Winter-Platz),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-71500-prohlis-nordjacob-winter-platz_gesamt.html,,Unabhängige Bürger für Dresden e. V.,"Hilbert, Dirk",98,"30,2"
04200 - Wilsdruffer Vorstadt (Ermischstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-04200-wilsdruffervorstadtermischstr_gesamt.html,,Die PARTEI,"Stosch, Lars",7,"1,9"
62600 - Laubegast (Villacher Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-62600-laubegastvillacherstr_gesamt.html,,CDU,"Ulbig, Markus",94,"13,4"
64400 - Großzschachwitz (Rathener Str.-Süd),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-64400-grozschachwitzrathenerstr-sd_gesamt.html,,CDU,"Ulbig, Markus",62,16
41000 - Loschwitz/​Wachwitz,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-41000-loschwitzwachwitz_gesamt.html,,AfD,"Vogel, Stefan",31,"3,7"
98401 - Briesnitz (Gottfried-Keller-Platz),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-98401-briesnitzgottfried-keller-platz_gesamt.html,,Ungültige,,4,"1,1"
22700 - Übigau-Süd,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-22700-bigau-sd_gesamt.html,,AfD,"Vogel, Stefan",22,5
96000 - Gorbitz-Ost,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-96000-gorbitz-ost_gesamt.html,,Gültige,,505,"98,4"
86800 - Plauen (Hohenplauen),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-86800-plauenhohenplauen_gesamt.html,,Gültige,,467,"99,4"
81100 - Südvorstadt-West (Feldschlößchenstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-81100-sdvorstadt-westfeldschlchenstr_gesamt.html,,Unabhängige Bürger für Dresden e. V.,"Hilbert, Dirk",90,28
56501 - Seidnitz (Liebenauer Str),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-56501-seidnitzliebenauerstr_gesamt.html,,Unabhängige Bürger für Dresden e. V.,"Hilbert, Dirk",106,"32,4"
91102 - Cotta (Omsewitzer Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-91102-cottaomsewitzerstr_gesamt.html,,Festerling,"Festerling, Tatjana",49,"13,4"
76001 - Strehlen 1,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-76001-strehlen1_gesamt.html,,AfD,"Vogel, Stefan",11,"2,1"
83500 - Zschertnitz (Rubensweg),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-83500-zschertnitzrubensweg_gesamt.html,,Unabhängige Bürger für Dresden e. V.,"Hilbert, Dirk",127,"30,3"
96600 - Gorbitz-Ost (Leutewitzer Ring-West),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-96600-gorbitz-ostleutewitzerring-west_gesamt.html,,Die PARTEI,"Stosch, Lars",5,"1,2"
75901 - Mockritz-Ost (Dora-Stock-Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-75901-mockritz-ostdora-stock-str_gesamt.html,,CDU,"Ulbig, Markus",52,"16,4"
55200 - Tolkewitz (Knappestr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-55200-tolkewitzknappestr_gesamt.html,,Unabhängige Bürger für Dresden e. V.,"Hilbert, Dirk",125,"33,2"
06300 - Johannstadt-Nord (Hopfgartenstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-06300-johannstadt-nordhopfgartenstr_gesamt.html,01100 - Innere Altstadt,,,,
57700 - Gruna (Beilstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-57700-grunabeilstr_gesamt.html,,CDU,"Ulbig, Markus",74,"19,9"
06300 - Johannstadt-Nord (Hopfgartenstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-06300-johannstadt-nordhopfgartenstr_gesamt.html,,Ungültige,,1,"0,4"
12201 - Radeberger Vorstadt (Forststr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-12201-radebergervorstadtforststr_gesamt.html,,AfD,"Vogel, Stefan",9,"1,7"
25200 - Pieschen-Nord (Riesaer Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-25200-pieschen-nordriesaerstr_gesamt.html,,Gemeinsam für Dresden,"Dr. Stange, Eva-Maria",133,"36,9"
02100 - Pirnaische Vorstadt (Grunaer Str,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-02100-pirnaischevorstadtgrunaerstr_gesamt.html,,Gültige,,473,"99,2"
22200 - Trachau-Süd (Wöhlerstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-22200-trachau-sdwhlerstr_gesamt.html,,Die PARTEI,"Stosch, Lars",16,"4,3"
11100 - Äuß. Neust. (Stetzscher/​Katharinenstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-11100-uneuststetzscherkatharinenstr_gesamt.html,,AfD,"Vogel, Stefan",8,"1,3"
81200 - Südvorstadt-West (Bayrische Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-81200-sdvorstadt-westbayrischestr_gesamt.html,,Ungültige,,6,"0,9"
91102 - Cotta (Omsewitzer Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-91102-cottaomsewitzerstr_gesamt.html,,Gültige,,367,"99,7"
85301 - Gittersee-Nord,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-85301-gittersee-nord_gesamt.html,,Gültige,,356,"98,6"
25300 - Pieschen-Nord (Hellerauer Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-25300-pieschen-nordhellerauerstr_gesamt.html,,Unabhängige Bürger für Dresden e. V.,"Hilbert, Dirk",164,"31,7"
76600 - Strehlen (H.-Lohmar-Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-76600-strehlenh-lohmar-str_gesamt.html,,Ungültige,,10,"2,6"
42002 - Bühlau/​Rochwitz,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-42002-bhlaurochwitz_gesamt.html,,CDU,"Ulbig, Markus",116,"14,9"
12301 - Radeberger Vorstadt (Am Brauhaus),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-12301-radebergervorstadtambrauhaus_gesamt.html,,CDU,"Ulbig, Markus",63,"14,4"
07900 - Johannstadt-Süd (Lortzingstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-07900-johannstadt-sdlortzingstr_gesamt.html,,AfD,"Vogel, Stefan",21,"5,4"
47110 - Schönfeld/​Krieschendorf/​Malschendorf,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-47110-schnfeldkrieschendorfmalschendorf_gesamt.html,,CDU,"Ulbig, Markus",83,"18,7"
52200 - Striesen-Ost (Jacobistr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-52200-striesen-ostjacobistr_gesamt.html,,CDU,"Ulbig, Markus",95,"15,3"
13200 - Innere Neustadt (Sarrasanistr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-13200-innereneustadtsarrasanistr_gesamt.html,,Gültige,,407,"99,3"
96600 - Gorbitz-Ost (Leutewitzer Ring-West),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-96600-gorbitz-ostleutewitzerring-west_gesamt.html,,Gültige,,406,"99,3"
83002 - Zschertnitz-2,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-83002-zschertnitz-2_gesamt.html,,Festerling,"Festerling, Tatjana",44,"6,2"
54002 - Striesen-West-2,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-54002-striesen-west-2_gesamt.html,,CDU,"Ulbig, Markus",94,"12,1"
85000 - Coschütz/​Gittersee,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-85000-coschtzgittersee_gesamt.html,01100 - Innere Altstadt,,,,
07600 - Johannstadt-Süd (Cranachstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-07600-johannstadt-sdcranachstr_gesamt.html,,Ungültige,,2,"0,6"
96600 - Gorbitz-Ost (Leutewitzer Ring-West),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-96600-gorbitz-ostleutewitzerring-west_gesamt.html,,CDU,"Ulbig, Markus",59,"14,5"
82000 - Südvorstadt-Ost,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-82000-sdvorstadt-ost_gesamt.html,,Die PARTEI,"Stosch, Lars",28,"3,7"
07700 - Johannstadt-Süd (Zöllnerstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-07700-johannstadt-sdzllnerstr_gesamt.html,,Gültige,,323,"97,6"
56200 - Seidnitz (Schilfweg),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-56200-seidnitzschilfweg_gesamt.html,,AfD,"Vogel, Stefan",17,"5,6"
83200 - Zschertnitz (Böllstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-83200-zschertnitzbllstr_gesamt.html,,CDU,"Ulbig, Markus",32,"11,7"
14002 - Leipziger Vorstadt-2,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-14002-leipzigervorstadt-2_gesamt.html,,Unabhängige Bürger für Dresden e. V.,"Hilbert, Dirk",158,24
54300 - Striesen-West (Wormser Platz),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-54300-striesen-westwormserplatz_gesamt.html,,Unabhängige Bürger für Dresden e. V.,"Hilbert, Dirk",181,35
13200 - Innere Neustadt (Sarrasanistr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-13200-innereneustadtsarrasanistr_gesamt.html,,CDU,"Ulbig, Markus",58,"14,3"
92100 - Löbtau-Nord (Ebertplatz),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-92100-lbtau-nordebertplatz_gesamt.html,,Ungültige,,1,"0,2"
76100 - Strehlen (August-Bebel-Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-76100-strehlenaugust-bebel-str_gesamt.html,,Unabhängige Bürger für Dresden e. V.,"Hilbert, Dirk",140,"27,7"
22400 - Mickten (Lommatzscher Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-22400-micktenlommatzscherstr_gesamt.html,,Gemeinsam für Dresden,"Dr. Stange, Eva-Maria",71,"20,9"
75300 - Leubnitz (Karl-Laux-Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-75300-leubnitzkarl-laux-str_gesamt.html,01100 - Innere Altstadt,,,,
82200 - Südvorstadt-Ost (Uhlandstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-82200-sdvorstadt-ostuhlandstr_gesamt.html,,Die PARTEI,"Stosch, Lars",19,"4,4"
73200 - Niedersedlitz (Dorfstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-73200-niedersedlitzdorfstr_gesamt.html,,Die PARTEI,"Stosch, Lars",6,"1,2"
98500 - Omsewitz (Altomsewitz/​Omsewitzer Höhe),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-98500-omsewitzaltomsewitzomsewitzerhhe_gesamt.html,,CDU,"Ulbig, Markus",148,"22,5"
45310 - Weißig (An der Prießnitzaue),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-45310-weiiganderprienitzaue_gesamt.html,,Unabhängige Bürger für Dresden e. V.,"Hilbert, Dirk",125,"32,9"
94600 - Niedergorbitz/​Roßthal,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-94600-niedergorbitzrothal_gesamt.html,,Die PARTEI,"Stosch, Lars",13,"2,3"
81100 - Südvorstadt-West (Feldschlößchenstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-81100-sdvorstadt-westfeldschlchenstr_gesamt.html,,CDU,"Ulbig, Markus",36,"11,2"
75500 - Leubnitz (Altleubnitz),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-75500-leubnitzaltleubnitz_gesamt.html,,Gemeinsam für Dresden,"Dr. Stange, Eva-Maria",171,"34,7"
05100 - Friedrichstadt (Löbtauer Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-05100-friedrichstadtlbtauerstr_gesamt.html,,Festerling,"Festerling, Tatjana",55,"10,8"
04000 - Wilsdruffer Vorstadt,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-04000-wilsdruffervorstadt_gesamt.html,,Gemeinsam für Dresden,"Dr. Stange, Eva-Maria",392,"38,5"
94102 - Naußlitz (Rhönweg),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-94102-naulitzrhnweg_gesamt.html,,Unabhängige Bürger für Dresden e. V.,"Hilbert, Dirk",113,"33,3"
11602 - Äußere Neustadt (Martin-Luther-Platz),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-11602-uereneustadtmartin-luther-platz_gesamt.html,,Gemeinsam für Dresden,"Dr. Stange, Eva-Maria",475,"74,5"
41300 - Oberloschwitz,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-41300-oberloschwitz_gesamt.html,,Ungültige,,2,"0,5"
63200 - Kleinzschachwitz-Süd,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-63200-kleinzschachwitz-sd_gesamt.html,,Gemeinsam für Dresden,"Dr. Stange, Eva-Maria",125,27
42100 - Weißer Hirsch,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-42100-weierhirsch_gesamt.html,,Die PARTEI,"Stosch, Lars",22,"3,8"
46110 - Gönnsdorf,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-46110-gnnsdorf_gesamt.html,,Unabhängige Bürger für Dresden e. V.,"Hilbert, Dirk",181,"46,3"
21100 - Stadt Neudorf (Weimarische Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-21100-stadtneudorfweimarischestr_gesamt.html,,Die PARTEI,"Stosch, Lars",28,"6,1"
75100 - Leubnitz (Fritz-Busch-Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-75100-leubnitzfritz-busch-str_gesamt.html,,Die PARTEI,"Stosch, Lars",4,"0,9"
14001 - Leipziger Vorstadt-1,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-14001-leipzigervorstadt-1_gesamt.html,,Unabhängige Bürger für Dresden e. V.,"Hilbert, Dirk",77,"13,8"
